"genus_species","genus","family","class","order","kingdom","db","db_code","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","longevity_y","male_maturity_d","female_body_mass_g","male_body_mass_g","unsexed_body_mass_g","female_body_mass_at_maturity_g","growth_rate","unk_body_mass_g","wing_length_mm","trophic_level","trophic_niche","min_latitude_deg","max_latitude_deg","range_size_km2","body_length_mm","qualitative_body_size","trophic_guild","population_density_n_per_ha","male_wing_length_mm","female_wing_length_mm","unsexed_wing_length_mm","unsexed_body_length_cm","mean_unsexed_wing_length_mm","mean_male_wing_length_mm","mean_female_wing_length_mm","litter_or_clutch_size_n_min","litter_or_clutch_size_n_max","litter_or_clutch_size_n_mean","maturity_d","median_dispersal_distance_km","maximum_dispersal_distance_km","primary_source"
"Sebastes brevispinis","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes zacentrus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Zaprora silenus","Zaprora","Zaproridae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:2379450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes crameri","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Bathymaster signatus","Bathymaster","Bathymasteridae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:2394455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes helvomaculatus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2336472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes entomelas","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes pinniger","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes diploproa","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes saxicola","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes paucispinis","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Isopsetta isolepis","Isopsetta","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Raja binoculata","Raja","Rajidae","Chondrichthyes","Rajiformes","Animalia","itis","ITIS:160848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Trichodon trichodon","Trichodon","Trichodontidae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:5210437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Limanda proboscidea","Limanda","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5213962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Oregonia gracilis","Oregonia","Oregoniidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2226644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Merluccius productus","Merluccius","Merlucciidae","Actinopterygii","Gadiformes","Animalia","gbif","GBIF:2415676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Telmessus cheiragonus","Telmessus","Cheiragonidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2222061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes flavidus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Dasycottus setiger","Dasycottus","Psychrolutidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2334926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Parophrys vetulus","Parophrys","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Microgadus proximus","Microgadus","Gadidae","Actinopterygii","Gadiformes","Animalia","gbif","GBIF:2415888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sarritor frenatus","Sarritor","Agonidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:5201627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Occella dodecaedron","Occella","Agonidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2337258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Uria aalge","Uria","Alcidae","Aves","Charadriiformes","Animalia","gbif","GBIF:2481342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Lycodes brevipes","Lycodes","Zoarcidae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:5209357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Lyopsetta exilis","Lyopsetta","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Icichthys lockingtoni","Icichthys","Centrolophidae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:2398046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Malacocottus zonurus","Malacocottus","Psychrolutidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2334870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
