"genus_species","genus","family","class","order","kingdom","db","db_code","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","longevity_y","male_maturity_d","female_body_mass_g","male_body_mass_g","unsexed_body_mass_g","female_body_mass_at_maturity_g","growth_rate","unk_body_mass_g","wing_length_mm","trophic_level","trophic_niche","min_latitude_deg","max_latitude_deg","range_size_km2","body_length_mm","qualitative_body_size","trophic_guild","population_density_n_per_ha","male_wing_length_mm","female_wing_length_mm","unsexed_wing_length_mm","unsexed_body_length_cm","mean_unsexed_wing_length_mm","mean_male_wing_length_mm","mean_female_wing_length_mm","litter_or_clutch_size_n_min","litter_or_clutch_size_n_max","litter_or_clutch_size_n_mean","maturity_d","median_dispersal_distance_km","maximum_dispersal_distance_km","primary_source"
"Porzana carolina","Porzana","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474639",NA,NA,NA,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,"Omnivore","Omnivore",30.64,65.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Porzana fluminea","Porzana","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474614",NA,NA,NA,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8,"Carnivore","Aquatic predator",-43.64,-15.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Porzana porzana","Porzana","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474621",NA,NA,NA,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.9,"Omnivore","Aquatic predator",24.02,65.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallina fasciata","Rallina","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474481",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.2,"Carnivore","Omnivore",-10.37,24.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallina tricolor","Rallina","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474482",NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.5,"Carnivore","Aquatic predator",-19.75,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallus aquaticus","Rallus","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474831",NA,NA,NA,110.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1,"Carnivore","Aquatic predator",24.01,63.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallus elegans","Rallus","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:9480015",NA,NA,NA,313.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.4,"Carnivore","Aquatic predator",17.85,47.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallus limicola","Rallus","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:2474825",NA,NA,NA,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,"Carnivore","Aquatic predator",-17.32,55.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Rallus longirostris","Rallus","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:9395900",NA,NA,NA,259.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.2,"Carnivore","Aquatic predator",-28.62,12.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sarothrura affinis","Sarothrura","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:5228164",NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2,"Omnivore","Omnivore",-34.84,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sarothrura elegans","Sarothrura","Rallidae","Aves","Gruiformes","Animalia","gbif","GBIF:5228161",NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Carnivore","Invertivore",-34.21,8.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Corythaixoides concolor","Corythaixoides","Musophagidae","Aves","Musophagiformes","Animalia","gbif","GBIF:2475259",NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.4,"Herbivore","Frugivore",-29.07,-6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gallirex porphyreolophus","Gallirex","Musophagidae","Aves","Musophagiformes","Animalia","ncbi","NCBI:119411",NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8,"Herbivore","Frugivore",-30.6,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Ardeotis australis","Ardeotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474903",NA,NA,NA,4182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592.5,"Omnivore","Omnivore",-38.04,-6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Ardeotis kori","Ardeotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474909",NA,NA,NA,7994.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.8,"Omnivore","Omnivore",-32.58,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Eupodotis caerulescens","Eupodotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474896",NA,NA,NA,1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.8,"Omnivore","Omnivore",-32.62,-24.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Eupodotis senegalensis","Eupodotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474890",NA,NA,NA,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.6,"Omnivore","Omnivore",-34.21,17.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Lissotis melanogaster","Lissotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474850",NA,NA,NA,1151.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,"Carnivore","Invertivore",-33.17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Lophotis ruficrista","Lophotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474882",NA,NA,NA,712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.2,"Omnivore","Omnivore",-28.6,-11.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Neotis denhami","Neotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474874",NA,NA,NA,3970.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.8,"Carnivore","Omnivore",-34.84,17.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Neotis ludwigii","Neotis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474872",NA,NA,NA,3260.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.5,"Omnivore","Omnivore",-34.44,-15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Otis tarda","Otis","Otididae","Aves","Otidiformes","Animalia","gbif","GBIF:2474921",NA,NA,NA,6759.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.8,"Omnivore","Omnivore",33.26,59.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza apicalis","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:7341406",NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"Carnivore","Invertivore",-36,-16.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza chrysorrhoa","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230400",NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,"Carnivore","Invertivore",-43.64,-18.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza ewingii","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230404",NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,"Carnivore","Invertivore",-43.64,-39.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza inornata","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230408",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,"Carnivore","Invertivore",-35.19,-29.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza iredalei","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230405",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,"Carnivore","Invertivore",-38.86,-24.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza katherina","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230409",NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,"Carnivore","Invertivore",-19.07,-15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza lineata","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230401",NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,"Omnivore","Invertivore",-39.24,-23.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza nana","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230410",NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,"Carnivore","Invertivore",-39.14,-15.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza pusilla","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230402",NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,"Carnivore","Invertivore",-43.64,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza reguloides","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230407",NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,"Carnivore","Invertivore",-39.14,-15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza robustirostris","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230411",NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,"Carnivore","Invertivore",-30.4,-19.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acanthiza uropygialis","Acanthiza","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230403",NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,"Carnivore","Invertivore",-38.05,-19.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Aphelocephala leucopsis","Aphelocephala","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486544",NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2,"Carnivore","Invertivore",-38.17,-21.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Aphelocephala nigricincta","Aphelocephala","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486543",NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,"Carnivore","Invertivore",-34.09,-19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Aphelocephala pectoralis","Aphelocephala","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486545",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,"Omnivore","Invertivore",-31.31,-26.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Calamanthus campestris","Calamanthus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486612",NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,"Carnivore","Invertivore",-37.2,-20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Calamanthus cautus","Calamanthus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:4846336",NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,"Carnivore","Invertivore",-38.11,-29.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Calamanthus fuliginosus","Calamanthus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486611",NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,"Carnivore","Invertivore",-43.64,-33.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Calamanthus pyrrhopygius","Calamanthus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:4846335",NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,"Carnivore","Invertivore",-39.14,-27.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Crateroscelis murina","Crateroscelis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486616",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,"Carnivore","Invertivore",-10.7,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Crateroscelis robusta","Crateroscelis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486617",NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,"Carnivore","Invertivore",-10.05,-0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone chloronota","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:7341355",NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,"Carnivore","Invertivore",-19.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone fusca","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486563",NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8,"Carnivore","Invertivore",-38.59,-16.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone levigaster","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486565",NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,"Carnivore","Invertivore",-33.34,-7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone magnirostris","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486552",NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,"Carnivore","Invertivore",-22.79,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone mouki","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486566",NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,"Carnivore","Invertivore",-38.69,-12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone olivacea","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486553",NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,"Carnivore","Invertivore",-39.14,-7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone palpebrosa","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486559",NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,"Carnivore","Invertivore",-27.21,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone ruficollis","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486567",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"Carnivore","Invertivore",-10.15,-0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Gerygone tenebrosa","Gerygone","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486560",NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7,"Carnivore","Invertivore",-26.24,-16.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Oreoscopus gutturalis","Oreoscopus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:5230416",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8,"Carnivore","Invertivore",-20.15,-14.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Origma solitaria","Origma","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486593",NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,"Carnivore","Invertivore",-35.49,-31.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Pachycare flavogriseum","Pachycare","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:7342003",NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,"Carnivore","Invertivore",-10.61,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Pycnoptilus floccosus","Pycnoptilus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486595",NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"Carnivore","Invertivore",-39,-30.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Pyrrholaemus brunneus","Pyrrholaemus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486589",NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"Omnivore","Invertivore",-36.08,-18.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Pyrrholaemus sagittatus","Pyrrholaemus","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:4846358",NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,"Carnivore","Invertivore",-39.51,-21.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis arfakianus","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486601",NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,"Carnivore","Invertivore",-10.23,-0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis beccarii","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486605",NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,"Carnivore","Invertivore",-14.03,-2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis citreogularis","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486597",NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,"Carnivore","Invertivore",-36.33,-14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis frontalis","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486602",NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,"Omnivore","Invertivore",-41,-15.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis humilis","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486606",NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,"Carnivore","Invertivore",-43.64,-39.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis nouhuysi","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486599",NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,"Carnivore","Invertivore",-10.28,-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis papuensis","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486603",NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,"Carnivore","Invertivore",-9.57,-2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis perspicillatus","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486608",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,"Carnivore","Invertivore",-10.14,-2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Sericornis spilodera","Sericornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486604",NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,"Carnivore","Invertivore",-10.33,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Smicrornis brevirostris","Smicrornis","Acanthizidae","Aves","Passeriformes","Animalia","gbif","GBIF:2486541",NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,"Carnivore","Invertivore",-39.14,-10.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acrocephalus arundinaceus","Acrocephalus","Acrocephalidae","Aves","Passeriformes","Animalia","gbif","GBIF:2493128",NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,"Carnivore","Invertivore",23.84,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acrocephalus dumetorum","Acrocephalus","Acrocephalidae","Aves","Passeriformes","Animalia","gbif","GBIF:2493145",NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,"Carnivore","Invertivore",37.32,64.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acrocephalus palustris","Acrocephalus","Acrocephalidae","Aves","Passeriformes","Animalia","gbif","GBIF:2493136",NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6,"Carnivore","Invertivore",37.03,65.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
"Acrocephalus schoenobaenus","Acrocephalus","Acrocephalidae","Aves","Passeriformes","Animalia","gbif","GBIF:2493129",NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4,"Carnivore","Invertivore",36.21,71.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVONET"
