reported_name,reported_name_fixed,scientificName,kingdom,phylum,class,order,family,db,db_code,ObservationType,Source,Field,DispersalDistance,Code,Database,Unit,Sex,Study duration (days),Comments
Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,NA,Perciformes,Centrarchidae,gbif,GBIF:2394514,mark-release-recapture,Brown 1961,Mean_dispersal_distance_(m),1569.11,MeanDispersalDistance,Comte & Olden,m,NA,451.4,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,NA,Perciformes,Centrarchidae,gbif,GBIF:2394514,mark-release-recapture,Funk 1957,Mean_dispersal_distance_(m),7188.92,MeanDispersalDistance,Comte & Olden,m,NA,479.28,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Ameiurus talis,Ameiurus talis,NA,NA,NA,NA,NA,NA,NA,NA,mark-release-recapture,Funk 1957,Mean_dispersal_distance_(m),2333.54,MeanDispersalDistance,Comte & Olden,m,NA,143.95,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anablepsoides hartii,Anablepsoides hartii,Anablepsoides hartii,Animalia,Chordata,NA,Cyprinodontiformes,Rivulidae,gbif,GBIF:7924816,mark-release-recapture,Gilliam & Fraser 2001,Mean_dispersal_distance_(m),6.77,MeanDispersalDistance,Comte & Olden,m,NA,60,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anablepsoides hartii,Anablepsoides hartii,Anablepsoides hartii,Animalia,Chordata,NA,Cyprinodontiformes,Rivulidae,gbif,GBIF:7924816,mark-release-recapture,Gilliam & Fraser 2001,Mean_dispersal_distance_(m),32.83,MeanDispersalDistance,Comte & Olden,m,NA,60,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla australis australis,Anguilla australis australis,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),8.25,MeanDispersalDistance,Comte & Olden,m,NA,19.9,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla australis australis,Anguilla australis australis,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),15.28,MeanDispersalDistance,Comte & Olden,m,NA,4.2,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),9.2,MeanDispersalDistance,Comte & Olden,m,NA,4.19,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),12.98,MeanDispersalDistance,Comte & Olden,m,NA,20.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),33.78,MeanDispersalDistance,Comte & Olden,m,NA,20.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),37.49,MeanDispersalDistance,Comte & Olden,m,NA,20.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),41.87,MeanDispersalDistance,Comte & Olden,m,NA,20.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla dieffenbachii,Anguilla dieffenbachii,Anguilla dieffenbachii,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213018,radio-tracking,Jellyman & Skykes 2003,Mean_dispersal_distance_(m),42.02,MeanDispersalDistance,Comte & Olden,m,NA,20.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla japonica,Anguilla japonica,Anguilla japonica,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213022,mark-release-recapture,Lin et al. 2012,Mean_dispersal_distance_(m),924.91,MeanDispersalDistance,Comte & Olden,m,NA,10,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla japonica,Anguilla japonica,Anguilla japonica,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5213022,mark-release-recapture,Lin et al. 2012,Mean_dispersal_distance_(m),939.56,MeanDispersalDistance,Comte & Olden,m,NA,1,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,Animalia,Chordata,NA,Anguilliformes,Anguillidae,gbif,GBIF:5212956,mark-release-recapture,Gunning 1963,Mean_dispersal_distance_(m),28.47,MeanDispersalDistance,Comte & Olden,m,NA,66.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Aplodinotus grunniens,Aplodinotus grunniens,Aplodinotus grunniens,Animalia,Chordata,NA,Perciformes,Sciaenidae,gbif,GBIF:2400265,mark-release-recapture,Funk 1957,Mean_dispersal_distance_(m),28911.79,MeanDispersalDistance,Comte & Olden,m,NA,277.03,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus barbus,Barbus barbus,Barbus barbus,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5739539,mark-release-recapture,Vilizzi et al. 2006,Mean_dispersal_distance_(m),202,MeanDispersalDistance,Comte & Olden,m,NA,30,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus barbus,Barbus barbus,Barbus barbus,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5739539,mark-release-recapture,Penczak 2006,Mean_dispersal_distance_(m),257.73,MeanDispersalDistance,Comte & Olden,m,NA,68,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus barbus,Barbus barbus,Barbus barbus,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5739539,mark-release-recapture,Hunt & Jones 1974,Mean_dispersal_distance_(m),1460.65,MeanDispersalDistance,Comte & Olden,m,NA,30,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
