"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Setaria verticillata","Setaria verticillata","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289686","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","3.28","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Acer saccharum","Acer saccharum","Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)","150","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","475","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Betula alleghaniensis","Betula alleghaniensis","Betula alleghaniensis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331779","seed dispersal (field)","Greene & Johnson 1997","Maximum_recorded_dispersal_distance_(m)","250","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Bromus inermis","Bromus inermis","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703670","seed dispersal (field)","Hume & Archbold 1986 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)","7","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:8435025","seed dispersal (field)","Werner 1975 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1.5","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Fraxinus americana","Fraxinus americana","Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","gbif","GBIF:3172327","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)","130","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684391","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1200","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Panicum miliaceum","Panicum miliaceum","Panicum miliaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705090","seed dispersal (field)","McCanny & Cavers 1987","Maximum_recorded_dispersal_distance_(m)","3","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Picea glauca","Picea glauca","Picea glauca","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284745","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","475","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Picea engelmannii","Picea engelmannii","Picea engelmannii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284917","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)","190","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Pinus resinosa","Pinus resinosa","Pinus resinosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285067","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","475","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","475","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
