"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationType","Source","Field","DispersalDistance","Code","Database","Unit","Sex"
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","267.89","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Daniel et al. 2011","Mean_dispersal_distance_(m)","298.6","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","345.08","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Jones & Stuart 2007","Mean_dispersal_distance_(m)","367.5","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","526.7","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler 2010","Mean_dispersal_distance_(m)","585.73","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","588.76","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Daniel et al. 2011","Mean_dispersal_distance_(m)","2754.44","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Mark-Recapture","Osborne et al. 2009","Mean_dispersal_distance_(m)","4500","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Mark-Recapture","Funk 1957","Mean_dispersal_distance_(m)","21356.75","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Mark-Recapture","Mann 1980","Mean_dispersal_distance_(m)","37.67","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Vehanen et al. 2006","Mean_dispersal_distance_(m)","65.3","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Mark-Recapture","Penczak 2006","Mean_dispersal_distance_(m)","78.74","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Koed et al. 2006","Mean_dispersal_distance_(m)","134.39","MeanDispersalDistance","Comte & Olden","m",NA
