"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Nuytsia floribunda","Nuytsia floribunda","Nuytsia floribunda","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","gbif","GBIF:4004137","seed dispersal (field)","Lamont 1985 in Hughes et al. 1994","Maximum_recorded_dispersal_distance_(m)","37.5","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Sclerolaena diacantha","Sclerolaena diacantha","Sclerolaena diacantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:8199472","seed dispersal (field)","Davidson & Morton 1981","Maximum_recorded_dispersal_distance_(m)","77","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Ficus crassiramea","Ficus crassiramea","Ficus crassiramea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","gbif","GBIF:7262389","seed dispersal (field)","Laman 1996","Maximum_recorded_dispersal_distance_(m)","60","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Ficus crassiramea subsp. stupenda","Ficus crassiramea","Ficus crassiramea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","gbif","GBIF:7262389","seed dispersal (field)","Laman 1996","Maximum_recorded_dispersal_distance_(m)","60","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Aristida congesta","Aristida congesta","Aristida congesta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4128792","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","2.31","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Cenchrus ciliaris","Cenchrus ciliaris","Cenchrus ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4109540","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","7.26","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Chloris virgata","Chloris virgata","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289624","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","5.56","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Enneapogon cenchroides","Enneapogon cenchroides","Enneapogon cenchroides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:8669627","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","13.11","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Eragrostis cylindriflora","Eragrostis cylindriflora","Eragrostis cylindriflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705391","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","10.19","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Panicum maximum","Panicum maximum","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:7562245","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","7.95","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Schmidtia pappophoroides","Schmidtia pappophoroides","Schmidtia pappophoroides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5674887","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","7.59","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Setaria verticillata","Setaria verticillata","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289686","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","3.28","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Tragus berteronianus","Tragus berteronianus","Tragus berteronianus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290129","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","2.24","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Urochloa mosambicensis","Urochloa mosambicensis","Urochloa trichopus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4149632","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","4.46","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Urochloa panicoides","Urochloa panicoides","Urochloa panicoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705869","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","3.16","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Bertholletia excelsa","Bertholletia excelsa","Bertholletia excelsa","Plantae","Tracheophyta","Magnoliopsida","Ericales","Lecythidaceae","gbif","GBIF:3083180","seed dispersal (field)","Tuck Haugaasen 2012","Maximum_recorded_dispersal_distance_(m)","60","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Murraya paniculata","Murraya paniculata","Murraya paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","gbif","GBIF:8190743","seed dispersal (field)","Pikart et al. 2011","Maximum_recorded_dispersal_distance_(m)","21","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Acer saccharum","Acer saccharum","Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)","150","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Artemisia frigida","Artemisia frigida","Artemisia frigida","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3121436","seed dispersal (field)","Hume & Archbold 1986 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","25","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Asarum canadense","Asarum canadense","Asarum canadense","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","gbif","GBIF:2873947","seed dispersal (field)","Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","475","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Betula alleghaniensis","Betula alleghaniensis","Betula alleghaniensis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331779","seed dispersal (field)","Greene & Johnson 1997","Maximum_recorded_dispersal_distance_(m)","250","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Bromus inermis","Bromus inermis","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703670","seed dispersal (field)","Hume & Archbold 1986 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)","7","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:8435025","seed dispersal (field)","Werner 1975 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1.5","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Fraxinus americana","Fraxinus americana","Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","gbif","GBIF:3172327","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)","130","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Hieracium aurantiacum","Hieracium aurantiacum","Pilosella aurantiaca","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3122924","seed dispersal (field)","Stergios 1976 in Willson 1993","Maximum_recorded_dispersal_distance_(m)","1.9","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684391","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1200","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Lithospermum caroliniense","Lithospermum caroliniense","Lithospermum caroliniense","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:10238910","seed dispersal (field)","Westelaken & Maun 1985 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","199","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
