"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","kingdom","phylum","class","order","family","Group","LifeSpanYears","AgeAtMaturityDays","YearOfMaturity","MaxDispersalPotentialKmY","MaxDispersalPotentialmY","MaxDispersalDistancem","lag","raw_lag","expect_tracking","expected_lag","annual_dispersal_pot","climate_velocity"
"MaxDispersalDistance","Periparus ater",31,"Periparus","North","Terrestrial","Elevation","Centroid",-0.964285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",33,1777,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",33,-0.341789530936553,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",10,NA,NA,3.1,3100,31000,-9.46104309493655,-10.083539278,"Yes",3090.880746436,3100,9.119253564
"MaxDispersalDistance","Sylvia atricapilla",117,"Sylvia","North","Terrestrial","Elevation","Centroid",-0.785714286,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",35,1771,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",35,-0.50446655132922,"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Birds",14,NA,NA,8.35714285714286,8357.14285714286,117000,-9.62372011532922,-9.90496785,"Yes",8348.02360357886,8357.14285714286,9.119253564
"MaxDispersalDistance","Troglodytes troglodytes",38.3,"Troglodytes","North","Terrestrial","Elevation","Centroid",0.892857143,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",36,1746,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",36,-0.0234507502360227,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Birds",7,NA,NA,5.47142857142857,5471.42857142857,38300,-9.14270431423602,-8.226396421,"Yes",5462.30931786457,5471.42857142857,9.119253564
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",3.714285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",38,3513,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",38,0.670822383278928,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Birds",22,NA,NA,16.1363636363636,16136.3636363636,355000,-8.44843118072107,-5.40496785,"Yes",16127.2443827996,16136.3636363636,9.119253564
"MaxDispersalDistance","Zonotrichia leucophrys",2.6,"Zonotrichia","North","Terrestrial","Latitudinal","Centroid",0.57,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",42,1854,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",42,-0.169584316786602,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Birds",13.34,NA,NA,0.194902548725637,194.902548725637,2600,-1.1892840137866,-0.449699697,"No",-0.824797148274363,0.194902548725637,1.019699697
"MaxDispersalDistance","Falco columbarius",81.1,"Falco","North","Terrestrial","Latitudinal","Leading edge",0.12,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",46,1767,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",46,0.107935222395894,"Animalia","Chordata","Aves","Falconiformes","Falconidae","Birds",16,NA,NA,5.06875,5068.75,81100,-0.911764474604106,-0.899699697,"Yes",4.049050303,5.06875,1.019699697
"MaxDispersalDistance","Falco columbarius",81.1,"Falco","North","Terrestrial","Latitudinal","Centroid",0.77,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",47,1743,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",47,0.0233782575283913,"Animalia","Chordata","Aves","Falconiformes","Falconidae","Birds",16,NA,NA,5.06875,5068.75,81100,-0.996321439471609,-0.249699697,"Yes",4.049050303,5.06875,1.019699697
"MaxDispersalDistance","Actitis macularia",147,"Actitis","North","Terrestrial","Latitudinal","Leading edge",1.92,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",66,2447,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",66,0.076099018877363,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Birds",12,NA,NA,12.25,12250,147000,-0.943600678122637,0.900300303,"Yes",11.230300303,12.25,1.019699697
"MaxDispersalDistance","Picoides borealis",90,"Picoides","North","Terrestrial","Latitudinal","Centroid",-4.82,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",72,2209,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",72,-2.07050930359142,"Animalia","Chordata","Aves","Piciformes","Picidae","Birds",16.1,NA,NA,5.59006211180124,5590.06211180124,90000,-3.09020900059142,-5.839699697,"Yes",4.57036241480124,5.59006211180124,1.019699697
"MaxDispersalDistance","Molothrus ater",40,"Molothrus","North","Terrestrial","Latitudinal","Centroid",-9.32,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",102,1833,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",102,-2.96038094347383,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Birds",16.91666667,NA,NA,2.36453201923852,2364.53201923852,40000,-3.98008064047383,-10.339699697,"Yes",1.34483232223852,2.36453201923852,1.019699697
