"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","scientificName","kingdom","phylum","class","order","family","ObservationTypeGeneral","Group"
"MaxDispersalDistance","Erithacus rubecula",79.8,"Erithacus","North","Terrestrial","Elevation","Centroid",-2.75,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",28,2409,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",28,-0.849918269277265,"Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","movement study","Birds"
"MaxDispersalDistance","Garrulus glandarius",19,"Garrulus","North","Terrestrial","Elevation","Centroid",-1,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",29,2045,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",29,-0.284422515840266,"Garrulus glandarius","Animalia","Chordata","Aves","Passeriformes","Corvidae","movement study","Birds"
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",-0.571428571,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",30,2411,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",30,-0.258783711858959,"Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Birds"
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",-0.571428571,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",30,2411,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",30,-0.258783711858959,"Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
"MaxDispersalDistance","Fringilla coelebs",22.6,"Fringilla","North","Terrestrial","Elevation","Centroid",-2.642857143,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",31,2412,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",31,-0.759303344472221,"Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes","Fringillidae","movement study","Birds"
"MaxDispersalDistance","Periparus ater",31,"Periparus","North","Terrestrial","Elevation","Centroid",-0.964285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",33,1777,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",33,-0.341789530936553,"Periparus ater","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
"MaxDispersalDistance","Sylvia atricapilla",117,"Sylvia","North","Terrestrial","Elevation","Centroid",-0.785714286,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",35,1771,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",35,-0.50446655132922,"Sylvia atricapilla","Animalia","Chordata","Aves","Passeriformes","Sylviidae","movement study","Birds"
"MaxDispersalDistance","Troglodytes troglodytes",38.3,"Troglodytes","North","Terrestrial","Elevation","Centroid",0.892857143,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",36,1746,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",36,-0.0234507502360227,"Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","movement study","Birds"
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",3.714285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",38,3513,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",38,0.670822383278928,"Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","natal dispersal","Birds"
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",3.714285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",38,3513,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",38,0.670822383278928,"Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","movement study","Birds"
"MaxDispersalDistance","Zonotrichia leucophrys",2.6,"Zonotrichia","North","Terrestrial","Latitudinal","Centroid",0.57,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",42,1854,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",42,-0.169584316786602,"Zonotrichia leucophrys","Animalia","Chordata","Aves","Passeriformes","Emberizidae","natal dispersal","Birds"
"MaxDispersalDistance","Zonotrichia leucophrys",2.6,"Zonotrichia","North","Terrestrial","Latitudinal","Centroid",0.57,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",42,1854,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",42,-0.169584316786602,"Zonotrichia leucophrys","Animalia","Chordata","Aves","Passeriformes","Emberizidae","movement study","Birds"
"MaxDispersalDistance","Falco columbarius",81.1,"Falco","North","Terrestrial","Latitudinal","Leading edge",0.12,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",46,1767,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",46,0.107935222395894,"Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","movement study","Birds"
"MaxDispersalDistance","Falco columbarius",81.1,"Falco","North","Terrestrial","Latitudinal","Centroid",0.77,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",47,1743,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",47,0.0233782575283913,"Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","movement study","Birds"
"MaxDispersalDistance","Actitis macularia",147,"Actitis","North","Terrestrial","Latitudinal","Leading edge",1.92,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",66,2447,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",66,0.076099018877363,"Actitis macularius","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","natal dispersal","Birds"
