"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Cinclus cinclus","Cinclus cinclus","10.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","Cinclus cinclus"
"Coloeus monedula","Coloeus monedula","20.33333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula"
"Corvus brachyrhynchos","Corvus brachyrhynchos","20","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos"
"Corvus corax","Corvus corax","69","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
"Corvus corone","Corvus corone","19.16666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corone"
"Corvus frugilegus","Corvus frugilegus","22.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus frugilegus"
"Garrulus glandarius","Garrulus glandarius","17.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Garrulus","Garrulus glandarius"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","14.58333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus"
"Perisoreus canadensis","Perisoreus canadensis","19.2","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis"
"Pica pica","Pica pica","21.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica"
"Passerculus sandwichensis","Ammodramus sandwichensis","6.916666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis"
"Emberiza citrinella","Emberiza citrinella","13.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza citrinella"
"Emberiza schoeniclus","Emberiza schoeniclus","12.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza schoeniclus"
